"week","stringency_index","reproduction_rate","temp","humidity","precip","windspeed","new_cases","new_deaths","icu_patients","hosp_patients","case_fatality"
"2020-11-23",56.48,0.0136758154667267,6.21428571428571,89.9,0.611571428571429,18.1285714285714,33715,458,3650,9043,0.0135844579563992
"2020-11-30",56.48,0.00852210212278186,4.82857142857143,88.8857142857143,2.92457142857143,24.8571428571429,40890,339,3306,8167,0.00829053558327219
"2020-12-07",56.48,0.00626857894924466,3.57142857142857,93.6285714285714,1.89742857142857,20.9571428571429,57746,361,3326,8537,0.00625151525646798
"2020-12-14",74.4685714285714,0.00557785980816158,8.35714285714286,90.7857142857143,0.962857142857143,26.3714285714286,79025,443,3778,10227,0.00560582094273964
"2020-12-21",78.7,0.00705162587653823,6.9,90,10.9004285714286,36.2571428571429,69592,507,4222,11912,0.00728532015174158
"2020-12-28",78.7,0.0102955148701675,3.21428571428571,92.0857142857143,2.493,18.8428571428571,57395,615,4883,14073,0.01071521909574
"2021-01-04",78.7,0.014739178305588,2.34285714285714,89.0285714285714,1.28228571428571,21.0428571428571,50630,749,4981,14132,0.0147936006320363
"2021-01-11",78.7,0.016066612634415,3.42857142857143,83.4142857142857,2.17842857142857,27.7714285714286,39146,645,4827,12692,0.0164767792367036
"2021-01-18",79.76,0.0145969101898135,5.51428571428571,83.8571428571429,3.853,34.3,35739,534,4756,11871,0.0149416603710233
"2021-01-25",82.41,0.0158058694527395,3.22857142857143,87.0285714285714,3.43142857142857,28.5,28813,458,4579,11413,0.0158956026793461
"2021-02-01",82.41,0.0156329637499896,3.52857142857143,91.7,4.31514285714286,29.4285714285714,26393,405,4138,10751,0.015344977835032
"2021-02-08",78.7,0.0167755907840581,-3.78571428571429,71.9857142857143,0.339285714285714,25.5714285714286,24183,413,3764,9848,0.0170781127238143
"2021-02-15",78.7,0.0140299667871458,7.97142857142857,81.3428571428571,1.92057142857143,27.9714285714286,28742,401,3671,9677,0.0139517083014404
"2021-02-22",78.7,0.0108275049722095,8.78571428571429,80.2714285714286,0.0114285714285714,21.8571428571429,31675,346,3727,9389,0.0109234411996843
"2021-03-01",76.0571428571429,0.00855316947618745,3.77142857142857,81.8571428571429,0.000571428571428571,17.3571428571429,31470,270,3792,9597,0.00857959961868446
"2021-03-08",75,0.00617210462605836,6.41428571428571,80.9142857142857,3.23428571428571,42.9428571428571,38764,236,3930,9483,0.00608812300072232
"2021-03-15",75,0.00454187901597266,5.3,83.4857142857143,1.27385714285714,24.3428571428571,45164,206,4074,10135,0.00456115490213444
"2021-03-22",75,0.00365766690773918,7.51428571428571,77.5428571428571,0.406714285714286,30.4285714285714,51378,190,4428,11049,0.00369808089065359
"2021-03-29",75,0.00320156201703703,9.38571428571429,68.5857142857143,0.007,22.4571428571429,48332,157,4895,11513,0.00324836547215096
"2021-04-05",75,0.00291407377659796,4.75714285714286,75.5571428571428,3.57014285714286,34.8571428571429,49908,149,5429,12029,0.00298549330768614
"2021-04-12",75,0.00285092840759939,5.48571428571429,72.6857142857143,0.332857142857143,21.8857142857143,53630,145,5563,11945,0.00270371060973336
"2021-04-19",75,0.00237161739425123,7.94285714285714,71.8142857142857,0,20.2,56397,133,5791,12361,0.00235828146887246
"2021-04-26",68.65,0.00263056364926016,7.95714285714286,71.0857142857143,2.67657142857143,24.4857142857143,49480,123,5682,12746,0.0024858528698464
"2021-05-03",67.59,0.00303946112212076,9.41428571428571,74.9285714285714,3.101,34.0857142857143,49108,151,5622,12163,0.00307485542070538
"2021-05-10",67.59,0.0035437110834349,12.1428571428571,80.9857142857143,3.43042857142857,21.5142857142857,35135,126,5100,11028,0.0035861676391063
"2021-05-17",67.59,0.00350119730450188,11.3428571428571,79.0714285714286,4.557,32.9428571428571,28013,95,4405,9095,0.00339128261878414
"2021-05-24",67.59,0.00374175417692189,11.7,81.5428571428571,2.53457142857143,25.1857142857143,20586,78,3783,6842,0.00378898280384727
"2021-05-31",67.59,0.0038753211216312,17.7714285714286,70.9571428571429,1.62185714285714,19.0714285714286,15032,58,2810,5116,0.00385843533794572
"2021-06-07",67.59,0.00344298143193129,17.2857142857143,73.3714285714286,0,18.0857142857143,9212,35,2080,3544,0.00379939209726444
"2021-06-14",67.59,0.00251143246403627,19.6285714285714,75.1857142857143,8.21042857142857,21.6142857142857,5994,16,1611,2450,0.00266933600266934
"2021-06-21",55.16,0.0036437470742612,15.9,78.8857142857143,4.002,20.9857142857143,4317,16,1139,1678,0.00370627750752838
"2021-06-28",32.41,0.00236160361084487,16.9714285714286,86.8571428571429,2.22485714285714,17.9857142857143,6816,15,825,1092,0.00220070422535211
"2021-07-05",33.4671428571429,0.000266853570899078,17.2571428571429,80.0714285714286,1.92828571428571,21.7571428571429,46272,10,663,804,0.000216113416320885
"2021-07-12",36.11,0.000152252075346312,18.7,82.6571428571429,0.378,23.1285714285714,70591,11,533,1186,0.000155827230100154
"2021-07-19",40.8757142857143,0.000635773646831919,18.3571428571429,75.7571428571429,0.852285714285714,15.6285714285714,39971,24,754,2400,0.000600435315603813
"2021-07-26",41.67,0.00134423755724988,17.4,82.1285714285714,5.95214285714286,29.3857142857143,22600,29,1184,3287,0.00128318584070796
"2021-08-02",41.67,0.00214747869241085,16.6571428571429,79.2285714285714,4.64,23.6,18102,40,1394,3407,0.00220970058557066
"2021-08-09",41.67,0.00276253069498177,17.9285714285714,80,1.34014285714286,25.5571428571429,16532,46,1440,3210,0.00278248245826276
"2021-08-16",41.67,0.00267509607367595,17.0857142857143,84.4714285714286,4.47328571428571,24.5571428571429,17240,46,1481,3245,0.00266821345707657
"2021-08-23",41.67,0.00273822009188568,16.7142857142857,80.9285714285714,0.437857142857143,24.0285714285714,17831,50,1570,3077,0.00280410521002748
"2021-08-30",41.67,0.00270079975936894,16.3142857142857,81.1285714285714,0,17.7571428571429,17788,49,1489,3154,0.00275466606701147
"2021-09-06",41.67,0.00169783257340416,18.7571428571429,79.9857142857143,0.352285714285714,17.8714285714286,19452.5,31,1493,3156,0.00159362549800797
"2021-09-13",41.67,0.00338676656979918,16.3571428571429,84.2714285714286,0.174428571428571,18.8714285714286,13700,48,1394,2755,0.0035036496350365
"2021-09-20",41.5814285714286,0.00333354212004245,15.7857142857143,80.6285714285714,0.105,23.1428571428571,11766,40,1284,2338,0.00339962604113548
